id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,G90,A90,G+A90,xG90,xA90,xG+A90
897,Juanmi,21,1387,13,7.120832171291113,1,0.7811247147619724,35,12,5,0,F M S,Real Betis,13,7.120832171291113,8.000562712550163,1.6618578154593706,La_Liga,0.8435472242249459,0.06488824801730353,0.9084354722422494,0.4620583240203318,0.05068581422392035,0.5127441382442521
4229,Raúl de Tomás,24,2125,13,12.249804335646331,3,1.445575773715973,83,20,4,2,F,Espanyol,9,9.27669373434037,11.030252264812589,3.0400135219097137,La_Liga,0.5505882352941177,0.12705882352941178,0.6776470588235295,0.5188152424509035,0.06122438571032356,0.580039628161227
6219,Enes Ünal,25,1776,13,7.080963212996721,0,0.5113270515576005,58,16,5,0,F S,Getafe,11,4.851130288094282,4.55762293189764,1.2862745812162757,La_Liga,0.6587837837837838,0.0,0.6587837837837838,0.35883259525321226,0.025911843828932458,0.38474443908214473
7008,Vinícius Júnior,24,1965,13,11.422330398112535,6,5.373250277712941,62,45,5,0,F M S,Real Madrid,13,11.422330398112535,22.720311895012856,9.016736377030613,La_Liga,0.5954198473282443,0.2748091603053435,0.8702290076335878,0.5231601709059176,0.2461030661547912,0.7692632370607088
866,Joselu,27,2252,12,10.306718030013144,2,2.30952592054382,63,25,0,0,F S,Alaves,6,5.84705223236233,8.126661102287471,2.371730917133391,La_Liga,0.47957371225577267,0.07992895204262877,0.5595026642984015,0.41190258556890896,0.09229899327217753,0.5042015788410865
2275,Ángel Correa,26,1504,11,6.284817920997739,4,3.148437762632966,41,22,3,0,F M S,Atletico Madrid,11,6.284817920997739,11.970218064263465,3.712339660152793,La_Liga,0.6582446808510638,0.23936170212765956,0.8976063829787233,0.37608617878310935,0.18840385547670677,0.5644900342598161
2290,Iago Aspas,25,2040,11,8.586922453716397,3,4.558446442708373,49,42,9,0,F S,Celta Vigo,9,5.613939939066768,11.600736214779316,4.289675056934357,La_Liga,0.4852941176470588,0.1323529411764706,0.6176470588235294,0.3788348141345469,0.20110793129595764,0.5799427454305045
555,Memphis Depay,17,1383,9,9.859271453693507,2,3.852882083505392,44,35,2,0,F S,Barcelona,6,6.886160967871547,12.160369500517843,4.796505264937878,La_Liga,0.5856832971800434,0.1301518438177874,0.7158351409978309,0.6416011791991436,0.2507298535903726,0.8923310327895162
2098,Luis Suárez,25,1498,9,8.871734676882625,2,1.28081810567528,42,12,7,0,F S,Atletico Madrid,8,7.3851793725043535,8.751982693560421,1.931766178458929,La_Liga,0.540720961281709,0.12016021361815754,0.6608811748998665,0.533014766968916,0.07695168859197277,0.6099664555608888
5682,Gonçalo Guedes,25,1963,9,6.161370430141687,5,4.395372369326651,53,34,2,0,F M S,Valencia,8,4.674815185368061,11.025730369612576,4.735529957339168,La_Liga,0.41263372389200204,0.22924095771777891,0.6418746816097809,0.28248769165193677,0.20151987429414092,0.4840075659460777
2120,Gerard Moreno,13,986,8,7.2941616252064705,2,3.549818437546492,34,24,2,0,F S,Villarreal,7,5.80773426219821,8.786252938210964,2.3420425336807966,La_Liga,0.7302231237322515,0.18255578093306288,0.9127789046653144,0.6657956858707731,0.32401993851844246,0.9898156243892156
2234,Mikel Oyarzabal,20,1569,8,8.639374129474163,2,3.389484725892544,41,38,0,1,F M S,Real Sociedad,5,5.666263662278652,9.823098324239254,2.7189173474907875,La_Liga,0.4588910133843212,0.1147227533460803,0.5736137667304015,0.4955663936600858,0.19442551008943848,0.6899919037495243
2361,Willian José,22,1196,8,5.700512409210205,4,1.9842258766293528,26,17,2,0,F S,Real Betis,5,3.4706795662641525,6.6080474108457565,2.2319890465587378,La_Liga,0.6020066889632107,0.3010033444816054,0.9030100334448161,0.4289683251077913,0.14931465626809512,0.5782829813758864
2478,Carlos Soler,20,1524,8,6.860927656758577,2,2.1287390124052763,29,33,4,0,M S,Valencia,3,3.144539490807801,6.767838934902102,3.95571063272655,La_Liga,0.47244094488188976,0.11811023622047244,0.5905511811023622,0.40517289311566396,0.1257129338034612,0.5308858269191252
2589,Rafa Mir,25,1463,8,5.901790678501129,0,0.2139117391780018,47,5,3,0,F S,Sevilla,8,5.901790678501129,7.482824508100748,2.03543783351779,La_Liga,0.4921394395078606,0.0,0.4921394395078606,0.36306299457628277,0.013159300427901683,0.37622229500418447
8066,Arnaut Danjuma Groeneveld,16,1063,8,10.138077169656754,3,1.9731478691101076,49,8,2,0,F M S,Villarreal,6,8.65152183175087,12.015280723571776,2.4712539203464985,La_Liga,0.6773283160865475,0.25399811853245535,0.9313264346190029,0.858350842209885,0.1670586154467636,1.0254094576566486
1189,Lucas Boyé,19,1430,7,4.289150035008788,3,2.5179979745298624,43,18,2,0,F S,Elche,7,4.289150035008788,6.362569035962224,1.827902797609568,La_Liga,0.4405594405594406,0.1888111888111888,0.6293706293706294,0.2699465056998538,0.15847539699838295,0.42842190269823677
2117,Marco Asensio,21,1244,7,5.249543869867921,0,1.9131755735725164,47,21,2,0,F M S,Real Madrid,7,5.249543869867921,9.288282729685308,3.977388449013233,La_Liga,0.5064308681672026,0.0,0.5064308681672026,0.37979015135700395,0.13841302381151646,0.5182031751685204
2155,Jorge Molina,24,1319,7,4.566318795084953,3,1.529801886063069,28,15,1,0,F S,Granada,7,4.566318795084953,6.217594813555479,0.5483521539717913,La_Liga,0.4776345716451858,0.2047005307050796,0.6823351023502654,0.3115759602408232,0.10438375265024732,0.4159597128910705
